No,Wilayah,Tingkat
0,Pacitan,Kabupaten
1,Ponorogo,Kabupaten
2,Trenggalek,Kabupaten
3,Tulungagung,Kabupaten
4,Blitar,Kabupaten
5,Kediri,Kabupaten
6,Malang,Kabupaten
7,Lumajang,Kabupaten
8,Jember,Kabupaten
9,Banyuwangi,Kabupaten
10,Bondowoso,Kabupaten
11,Situbondo,Kabupaten
12,Probolinggo,Kabupaten
13,Pasuruan,Kabupaten
14,Sidoarjo,Kabupaten
15,Mojokerto,Kabupaten
16,Jombang,Kabupaten
17,Nganjuk,Kabupaten
18,Madiun,Kabupaten
19,Magetan,Kabupaten
20,Ngawi,Kabupaten
21,Bojonegoro,Kabupaten
22,Tuban,Kabupaten
23,Lamongan,Kabupaten
24,Gresik,Kabupaten
25,Bangkalan,Kabupaten
26,Sampang,Kabupaten
27,Pamekasan,Kabupaten
28,Sumenep,Kabupaten
29,Kediri,Kota
30,Blitar,Kota
31,Malang,Kota
32,Probolinggo,Kota
33,Pasuruan,Kota
34,Mojokerto,Kota
35,Madiun,Kota
36,Surabaya,Kota
37,Batu,Kota
