,Wilayah,Tingkat,Tidak Punya Ijazah SD,SD/MI/Paket A,SMP/MTs/Paket B,SMA/MA/Paket C,SMK/MAK,D1/D2/D3,Profesi,DIV/S1/S2/S3
0,Bangkalan,Kabupaten,1896,3907,2050,1668,129,10,0,340
1,Banyuwangi,Kabupaten,1577,2693,2163,2063,647,147,8,703
2,Blitar,Kabupaten,1469,3258,2353,1615,765,47,0,493
3,Bojonegoro,Kabupaten,1457,2874,2198,2289,483,51,0,648
4,Bondowoso,Kabupaten,3061,2499,1391,1758,602,27,0,662
5,Gresik,Kabupaten,593,2007,2293,3069,922,111,8,996
6,Jember,Kabupaten,2766,2430,2205,1601,480,55,0,463
7,Jombang,Kabupaten,1014,2299,2886,2207,886,87,11,611
8,Kediri,Kabupaten,1016,2856,2468,2176,867,89,10,517
9,Lamongan,Kabupaten,1148,2432,2697,2698,367,40,10,610
10,Lumajang,Kabupaten,990,4099,2434,1765,267,84,11,350
11,Madiun,Kabupaten,14,2719,2465,2011,988,74,0,343
12,Magetan,Kabupaten,991,2611,2341,2331,990,172,3,561
13,Malang,Kabupaten,1403,3308,2591,1660,407,91,0,539
14,Mojokerto,Kabupaten,861,2236,2357,2907,829,45,0,766
15,Nganjuk,Kabupaten,1279,2727,2340,2033,1002,78,0,541
16,Ngawi,Kabupaten,1593,2731,2436,1903,734,43,0,560
17,Pacitan,Kabupaten,1121,4001,2369,1364,529,97,0,519
18,Pamekasan,Kabupaten,1960,2693,1668,2252,410,104,0,913
19,Pasuruan,Kabupaten,1503,3448,1855,2072,720,71,0,330
20,Ponorogo,Kabupaten,1757,2648,2187,2073,679,87,0,569
21,Probolinggo,Kabupaten,2356,3186,1757,1786,464,56,0,396
22,Sampang,Kabupaten,3063,3382,1728,1420,114,29,0,264
23,Sidoarjo,Kabupaten,638,1202,2039,3280,1109,207,5,1519
24,Situbondo,Kabupaten,2146,2794,1755,2368,315,47,0,575
25,Sumenep,Kabupaten,2528,2607,1946,2051,92,73,12,691
26,Trenggalek,Kabupaten,1081,3548,2794,1732,441,41,0,363
27,Tuban,Kabupaten,1242,3228,2494,1975,536,60,0,465
28,Tulungagung,Kabupaten,863,30,2762,2190,531,56,0,597
29,Batu,Kota,783,2438,2140,2606,860,125,0,1049
30,Blitar,Kota,503,1682,1784,2527,1416,263,13,1812
31,Kediri,Kota,410,1315,1843,3352,976,206,0,1897
32,Madiun,Kota,118,1042,1462,3478,1463,338,22,2077
33,Malang,Kota,588,1536,2036,2740,935,307,0,1859
34,Mojokerto,Kota,339,1414,1706,3361,1355,217,0,1608
35,Pasuruan,Kota,646,1799,2042,3025,1217,193,0,1078
36,Probolinggo,Kota,993,1766,2073,2843,1082,137,0,1106
37,Surabaya,Kota,1035,1159,1879,3223,843,278,7,1575
