,Wilayah,Tingkat,Tidak punya biaya berobat,Tidak ada biaya transport,Tidak ada sarana transportasi,Waktu tunggu pelayanan lama,Mengobati sendiri,Tidak ada yang mendampingi,Merasa tidak perlu,Khawatir terpapar COVID-19,Fasilitas tidak beroprasi karena Covid-19,Lainnya
0,Bangkalan,Kabupaten,124,0,0,0,7225,34,1910,0,0,708
1,Banyuwangi,Kabupaten,0,0,0,0,8770,0,821,162,0,247
2,Blitar,Kabupaten,15,0,35,0,9014,0,806,131,0,0
3,Bojonegoro,Kabupaten,0,0,0,0,8320,0,1466,106,0,108
4,Bondowoso,Kabupaten,96,0,0,0,7839,0,1707,41,0,317
5,Gresik,Kabupaten,0,0,0,0,8426,0,1088,436,0,50
6,Jember,Kabupaten,55,0,0,0,8963,0,799,114,0,69
7,Jombang,Kabupaten,24,0,0,0,9140,0,772,26,0,38
8,Kediri,Kabupaten,0,14,0,107,8670,0,686,349,0,176
9,Lamongan,Kabupaten,0,0,0,0,8025,0,1476,172,0,327
10,Lumajang,Kabupaten,44,0,0,0,8327,0,1462,0,0,167
11,Madiun,Kabupaten,106,0,0,0,7253,0,1587,349,0,706
12,Magetan,Kabupaten,0,0,0,0,6910,0,2989,0,0,101
13,Malang,Kabupaten,55,0,0,29,8475,32,1131,211,0,65
14,Mojokerto,Kabupaten,117,0,0,0,7626,41,1757,148,0,312
15,Nganjuk,Kabupaten,0,0,0,74,8432,0,1453,0,0,40
16,Ngawi,Kabupaten,0,0,0,0,8704,0,1215,51,0,30
17,Pacitan,Kabupaten,0,0,0,0,8576,0,1253,0,0,171
18,Pamekasan,Kabupaten,75,0,0,0,8330,0,1535,60,0,0
19,Pasuruan,Kabupaten,0,19,0,62,8188,0,1327,144,0,260
20,Ponorogo,Kabupaten,102,0,0,0,7445,0,2103,276,41,75
21,Probolinggo,Kabupaten,0,0,0,0,7942,0,1644,285,0,128
22,Sampang,Kabupaten,109,32,0,0,7781,0,1770,71,0,238
23,Sidoarjo,Kabupaten,35,0,0,0,8962,0,737,131,0,136
24,Situbondo,Kabupaten,162,0,0,0,7729,0,1841,0,0,267
25,Sumenep,Kabupaten,124,0,0,0,6430,0,3110,53,0,284
26,Trenggalek,Kabupaten,0,0,0,0,8287,0,1516,0,0,157
27,Tuban,Kabupaten,0,0,0,0,8084,0,1339,43,0,533
28,Tulungagung,Kabupaten,27,0,0,29,7512,52,2239,113,0,28
29,Batu,Kota,0,0,0,0,8182,157,1279,56,0,326
30,Blitar,Kota,0,0,0,0,9112,0,763,34,0,91
31,Kediri,Kota,0,102,0,87,8475,0,1262,38,37,0
32,Madiun,Kota,0,0,0,0,8214,36,1110,569,0,70
33,Malang,Kota,0,0,156,0,7836,0,1676,221,0,110
34,Mojokerto,Kota,0,0,0,0,9044,0,354,526,0,76
35,Pasuruan,Kota,0,0,0,0,7297,67,2023,392,0,221
36,Probolinggo,Kota,0,0,0,0,7622,140,1487,535,216,0
37,Surabaya,Kota,27,0,0,10,9413,0,285,132,0,134
