,Wilayah,Tingkat,Laki-Laki,Perempuan
0,Bangkalan,Kabupaten,4776,5224
1,Banyuwangi,Kabupaten,4975,5025
2,Blitar,Kabupaten,5009,4991
3,Bojonegoro,Kabupaten,4943,5057
4,Bondowoso,Kabupaten,4869,5131
5,Gresik,Kabupaten,4957,5043
6,Jember,Kabupaten,4914,5086
7,Jombang,Kabupaten,4973,5027
8,Kediri,Kabupaten,5018,4982
9,Lamongan,Kabupaten,4856,5144
10,Lumajang,Kabupaten,4882,5118
11,Madiun,Kabupaten,4933,5067
12,Magetan,Kabupaten,4871,5129
13,Malang,Kabupaten,5025,4975
14,Mojokerto,Kabupaten,4995,5005
15,Nganjuk,Kabupaten,4970,5030
16,Ngawi,Kabupaten,4888,5112
17,Pacitan,Kabupaten,4880,5120
18,Pamekasan,Kabupaten,4860,5140
19,Pasuruan,Kabupaten,4953,5047
20,Ponorogo,Kabupaten,4998,5002
21,Probolinggo,Kabupaten,4878,5122
22,Sampang,Kabupaten,4868,5132
23,Sidoarjo,Kabupaten,5024,4976
24,Situbondo,Kabupaten,4875,5125
25,Sumenep,Kabupaten,4755,5245
26,Trenggalek,Kabupaten,4968,5032
27,Tuban,Kabupaten,4938,5062
28,Tulungagung,Kabupaten,4874,5126
29,Batu,Kota,5033,4967
30,Blitar,Kota,4960,5040
31,Kediri,Kota,4982,5018
32,Madiun,Kota,4835,5165
33,Malang,Kota,4930,5070
34,Mojokerto,Kota,4917,5083
35,Pasuruan,Kota,4958,5042
36,Probolinggo,Kota,4928,5072
37,Surabaya,Kota,4938,5062
