,Wilayah,Tingkat,Tidak Punya Ijazah SD,SD/MI/Paket A,SMP/MTs/Paket B,SMA/MA/Paket C,SMK/MAK,D1/D2/D3,Profesi,DIV/S1/S2/S3
0,Bangkalan,Kabupaten,2611,4090,1778,1254,67,35,0,165
1,Banyuwangi,Kabupaten,2471,2569,2021,1786,416,137,16,584
2,Blitar,Kabupaten,1860,2821,2594,1462,533,148,0,583
3,Bojonegoro,Kabupaten,2195,2885,2268,1764,235,96,0,556
4,Bondowoso,Kabupaten,3786,2645,1624,1112,214,42,0,578
5,Gresik,Kabupaten,831,2288,2484,2951,412,168,0,867
6,Jember,Kabupaten,3218,2786,1732,1426,297,96,0,444
7,Jombang,Kabupaten,1487,2425,2629,2089,553,64,0,752
8,Kediri,Kabupaten,1710,2548,2418,2068,504,124,6,622
9,Lamongan,Kabupaten,1902,2386,2521,2479,195,57,4,456
10,Lumajang,Kabupaten,1737,3962,2189,1461,211,126,0,316
11,Madiun,Kabupaten,2305,2646,2045,1960,449,147,0,449
12,Magetan,Kabupaten,1772,2790,2059,1836,611,180,3,748
13,Malang,Kabupaten,1817,3259,2482,1562,280,106,7,487
14,Mojokerto,Kabupaten,1565,2223,2483,2472,433,137,14,673
15,Nganjuk,Kabupaten,1808,2905,2352,1945,366,93,4,526
16,Ngawi,Kabupaten,2206,2669,2266,1609,499,75,7,669
17,Pacitan,Kabupaten,1809,3709,2182,488,354,104,0,355
18,Pamekasan,Kabupaten,2868,2947,1715,1670,189,72,0,538
19,Pasuruan,Kabupaten,2106,3543,2020,1541,213,123,0,454
20,Ponorogo,Kabupaten,2334,2598,2182,1619,335,164,0,768
21,Probolinggo,Kabupaten,3250,3068,1728,1348,209,85,0,311
22,Sampang,Kabupaten,3725,3318,1617,1018,146,0,0,176
23,Sidoarjo,Kabupaten,748,1496,2136,3044,690,283,8,1594
24,Situbondo,Kabupaten,3091,2929,1778,1666,69,30,0,437
25,Sumenep,Kabupaten,3199,3059,1810,1462,34,21,0,415
26,Trenggalek,Kabupaten,1934,31,2344,1813,323,49,0,438
27,Tuban,Kabupaten,1998,2863,2401,1811,312,132,0,482
28,Tulungagung,Kabupaten,1246,3060,2430,2082,401,85,0,695
29,Batu,Kota,1004,2340,2048,2608,585,333,0,1082
30,Blitar,Kota,718,1478,2263,2602,907,419,0,1613
31,Kediri,Kota,764,1371,2059,3080,782,279,0,1665
32,Madiun,Kota,352,1219,1565,3341,1008,501,0,2014
33,Malang,Kota,828,1572,1960,2630,882,499,12,1618
34,Mojokerto,Kota,766,1445,2106,3262,560,281,0,1581
35,Pasuruan,Kota,1111,1973,1981,2646,702,208,0,1377
36,Probolinggo,Kota,1432,1924,2271,2075,884,352,0,1061
37,Surabaya,Kota,1173,1511,2033,2985,473,245,36,1545
