,Wilayah,Tingkat,Penerima Bantuan Iuran,Non Penerima Bantuan Iuran,Jamkesda,Asuransi Swasta,Perusahaan/Kantor,Tidak Punya
0,Bangkalan,Kabupaten,1461,380,463,0,42,7665
1,Banyuwangi,Kabupaten,2401,1331,9393,49,147,124
2,Blitar,Kabupaten,2929,1082,550,43,65,5459
3,Bojonegoro,Kabupaten,7264,1006,1758,69,30,0
4,Bondowoso,Kabupaten,4928,1007,6,0,71,4005
5,Gresik,Kabupaten,3203,2736,93,96,421,3598
6,Jember,Kabupaten,3386,1193,139,21,146,5203
7,Jombang,Kabupaten,4270,2304,53,58,287,3112
8,Kediri,Kabupaten,3648,1567,189,0,128,4477
9,Lamongan,Kabupaten,5016,1383,1864,37,144,2833
10,Lumajang,Kabupaten,2841,834,6203,53,59,2167
11,Madiun,Kabupaten,4330,1604,16,6,144,3910
12,Magetan,Kabupaten,4075,1693,41,10,89,4093
13,Malang,Kabupaten,2610,1836,76,16,197,5324
14,Mojokerto,Kabupaten,3296,2902,173,39,326,3337
15,Nganjuk,Kabupaten,4512,997,9077,39,166,201
16,Ngawi,Kabupaten,4901,1740,35,13,62,3248
17,Pacitan,Kabupaten,3914,883,55,0,93,5072
18,Pamekasan,Kabupaten,5286,475,43,12,23,4161
19,Pasuruan,Kabupaten,3688,1256,108,22,310,4618
20,Ponorogo,Kabupaten,4115,1466,20,0,66,4350
21,Probolinggo,Kabupaten,4931,863,9,0,173,4031
22,Sampang,Kabupaten,3383,101,0,0,0,6516
23,Sidoarjo,Kabupaten,1710,4460,90,156,1055,2685
24,Situbondo,Kabupaten,3462,1052,10,25,71,5404
25,Sumenep,Kabupaten,3344,413,505,47,117,5738
26,Trenggalek,Kabupaten,4039,852,62,8,13,5045
27,Tuban,Kabupaten,3613,1341,5214,134,47,543
28,Tulungagung,Kabupaten,2999,1639,33,6,127,5197
29,Batu,Kota,4159,3562,2007,12,48,440
30,Blitar,Kota,4746,2971,6201,82,146,339
31,Kediri,Kota,4212,3284,2439,208,863,401
32,Madiun,Kota,3930,3782,1475,80,157,673
33,Malang,Kota,2739,4201,29,136,686,2451
34,Mojokerto,Kota,5488,3271,12,79,280,1006
35,Pasuruan,Kota,5585,2796,4172,145,228,661
36,Probolinggo,Kota,4498,2990,918,83,722,1103
37,Surabaya,Kota,3193,3689,45,215,438,2620
