,Wilayah,Tingkat,Tidak punya biaya berobat,Tidak ada biaya transport,Tidak ada sarana transportasi,Waktu tunggu pelayanan lama,Mengobati sendiri,Tidak ada yang mendampingi,Merasa tidak perlu,Khawatir terpapar COVID-19,Fasilitas tidak beroprasi karena Covid-19,Lainnya
0,Bangkalan,Kabupaten,230,0,0,41,6291,0,2990,84,0,365
1,Banyuwangi,Kabupaten,0,0,21,53,8763,23,90,119,0,120
2,Blitar,Kabupaten,0,0,50,0,8778,0,1112,22,0,39
3,Bojonegoro,Kabupaten,0,0,0,0,8258,0,1480,147,0,115
4,Bondowoso,Kabupaten,40,0,0,39,7989,0,1596,0,0,335
5,Gresik,Kabupaten,0,0,0,0,7206,0,2180,492,0,121
6,Jember,Kabupaten,154,0,0,0,8156,0,1250,391,0,49
7,Jombang,Kabupaten,0,0,0,47,8679,0,1098,25,0,151
8,Kediri,Kabupaten,18,0,0,2,8579,0,973,341,0,87
9,Lamongan,Kabupaten,0,0,0,99,7946,10,1523,215,0,207
10,Lumajang,Kabupaten,0,47,68,0,8730,0,1018,63,0,74
11,Madiun,Kabupaten,236,0,0,0,7217,52,1795,396,0,305
12,Magetan,Kabupaten,0,0,0,0,6844,0,2949,207,0,0
13,Malang,Kabupaten,34,44,0,84,7072,0,2244,394,35,93
14,Mojokerto,Kabupaten,48,0,0,55,7555,39,1460,294,0,549
15,Nganjuk,Kabupaten,0,0,92,217,8028,29,1469,81,0,84
16,Ngawi,Kabupaten,41,0,0,0,8633,0,1296,0,0,30
17,Pacitan,Kabupaten,0,0,0,0,7689,0,2275,0,0,36
18,Pamekasan,Kabupaten,80,0,0,0,8046,149,1661,21,0,43
19,Pasuruan,Kabupaten,104,0,0,84,7573,0,1899,130,0,210
20,Ponorogo,Kabupaten,0,0,0,0,7405,0,2322,273,0,0
21,Probolinggo,Kabupaten,35,37,24,0,7993,0,1429,187,0,296
22,Sampang,Kabupaten,229,0,0,0,7091,0,24,197,0,83
23,Sidoarjo,Kabupaten,174,0,0,47,7039,119,1518,604,0,499
24,Situbondo,Kabupaten,204,0,0,0,7668,0,1950,40,0,138
25,Sumenep,Kabupaten,47,0,37,0,4429,60,4536,69,0,822
26,Trenggalek,Kabupaten,0,0,36,0,8172,0,1315,150,97,230
27,Tuban,Kabupaten,0,25,0,0,8065,0,1423,43,0,443
28,Tulungagung,Kabupaten,0,0,0,0,7848,90,2045,17,0,0
29,Batu,Kota,0,0,0,0,8515,0,1097,238,0,150
30,Blitar,Kota,0,65,0,0,8854,67,871,142,0,0
31,Kediri,Kota,0,41,0,0,8614,0,1161,184,0,0
32,Madiun,Kota,0,0,0,0,7564,0,1782,442,0,211
33,Malang,Kota,35,52,50,51,7152,35,2011,547,0,66
34,Mojokerto,Kota,0,0,0,0,8357,0,1054,590,0,0
35,Pasuruan,Kota,0,0,0,0,7843,0,1637,520,0,0
36,Probolinggo,Kota,0,0,0,0,7622,208,1239,517,184,230
37,Surabaya,Kota,30,35,0,221,7219,0,1637,516,0,342
