,Wilayah,Tingkat,Jumlah Rumah Tangga,Rata-Rata Jumlah Anggota per Rumah Tangga,Rasio Jenis Kelamin,Rasio Ketergantungan
0,Bangkalan,Kabupaten,26082,384,9224,5100
1,Banyuwangi,Kabupaten,51137,317,9972,4603
2,Blitar,Kabupaten,35020,333,10055,4914
3,Bojonegoro,Kabupaten,36204,347,9763,4299
4,Bondowoso,Kabupaten,25310,309,9486,4365
5,Gresik,Kabupaten,36702,365,9861,4097
6,Jember,Kabupaten,75627,326,9715,4482
7,Jombang,Kabupaten,36949,345,9963,4571
8,Kediri,Kabupaten,45218,351,10144,4638
9,Lamongan,Kabupaten,34170,352,9435,4320
10,Lumajang,Kabupaten,29824,351,9541,4290
11,Madiun,Kabupaten,21605,317,9730,4681
12,Magetan,Kabupaten,18250,348,9490,4869
13,Malang,Kabupaten,76819,343,10172,4481
14,Mojokerto,Kabupaten,32780,346,9965,4187
15,Nganjuk,Kabupaten,31587,335,9952,4627
16,Ngawi,Kabupaten,27008,311,9562,4501
17,Pacitan,Kabupaten,16567,336,9539,50
18,Pamekasan,Kabupaten,23160,387,9433,4397
19,Pasuruan,Kabupaten,47468,347,9865,4000
20,Ponorogo,Kabupaten,26262,334,9988,4694
21,Probolinggo,Kabupaten,33546,352,9523,4336
22,Sampang,Kabupaten,26492,377,9457,4931
23,Sidoarjo,Kabupaten,65398,354,9980,3882
24,Situbondo,Kabupaten,24019,287,9515,3930
25,Sumenep,Kabupaten,34519,317,9071,3910
26,Trenggalek,Kabupaten,21322,328,9874,4553
27,Tuban,Kabupaten,33551,352,9772,4145
28,Tulungagung,Kabupaten,31038,337,9494,4764
29,Batu,Kota,5990,352,10474,4139
30,Blitar,Kota,4183,343,9841,4419
31,Kediri,Kota,8454,344,9931,3919
32,Madiun,Kota,5362,332,9366,4177
33,Malang,Kota,26572,331,9733,3642
34,Mojokerto,Kota,3889,337,9681,4080
35,Pasuruan,Kota,5651,359,9839,4208
36,Probolinggo,Kota,6852,352,9718,4237
37,Surabaya,Kota,82554,353,9677,3590
